date,product,category,demand,location,on_hand_inventory,lead_time_days,expiration_date,shelf_life_days,promo_flag,price
1/19/26,Cheddar Cheese,Aged Cheese,94,Indianapolis Cold Storage,500,4,3/8/26,60,FALSE,4.99
1/19/26,Heavy Cream,Dairy Cream,72,Indianapolis Cold Storage,90,5,2/8/26,24,FALSE,2.89
1/20/26,Whole Milk,Dairy Milk,228,Indianapolis Cold Storage,150,2,1/27/26,10,FALSE,3.79
1/20/26,Greek Yogurt,Cultured Dairy,144,Indianapolis Cold Storage,1500,10,1/29/26,21,FALSE,1.69
1/20/26,Sour Cream,Cultured Cream,106,Indianapolis Cold Storage,1800,10,1/25/26,14,TRUE,2.18
1/20/26,Cottage Cheese,Fresh Cheese,109,Indianapolis Cold Storage,2000,9,1/26/26,12,FALSE,3.19
1/20/26,Cheddar Cheese,Aged Cheese,96,Indianapolis Cold Storage,500,4,3/9/26,60,FALSE,4.99
1/20/26,Heavy Cream,Dairy Cream,74,Indianapolis Cold Storage,90,5,2/9/26,24,FALSE,2.89
1/21/26,Whole Milk,Dairy Milk,268,Indianapolis Cold Storage,150,2,1/28/26,10,TRUE,3.41
1/21/26,Greek Yogurt,Cultured Dairy,150,Indianapolis Cold Storage,1500,10,1/30/26,21,FALSE,1.69
1/21/26,Sour Cream,Cultured Cream,90,Indianapolis Cold Storage,1800,10,1/26/26,14,FALSE,2.49
1/21/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,1/27/26,12,FALSE,3.19
1/21/26,Cheddar Cheese,Aged Cheese,99,Indianapolis Cold Storage,500,4,3/10/26,60,FALSE,4.99
1/21/26,Heavy Cream,Dairy Cream,76,Indianapolis Cold Storage,90,5,2/10/26,24,FALSE,2.89
1/22/26,Whole Milk,Dairy Milk,241,Indianapolis Cold Storage,150,2,1/29/26,10,FALSE,3.79
1/22/26,Greek Yogurt,Cultured Dairy,154,Indianapolis Cold Storage,1500,10,1/31/26,21,FALSE,1.69
1/22/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,1/27/26,14,FALSE,2.49
1/22/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,1/28/26,12,FALSE,3.19
1/22/26,Cheddar Cheese,Aged Cheese,103,Indianapolis Cold Storage,500,4,3/11/26,60,FALSE,4.99
1/22/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,2/11/26,24,FALSE,2.89
1/23/26,Whole Milk,Dairy Milk,260,Indianapolis Cold Storage,150,2,1/30/26,10,FALSE,3.79
1/23/26,Greek Yogurt,Cultured Dairy,161,Indianapolis Cold Storage,1500,10,2/1/26,21,FALSE,1.69
1/23/26,Sour Cream,Cultured Cream,98,Indianapolis Cold Storage,1800,10,1/28/26,14,FALSE,2.49
1/23/26,Cottage Cheese,Fresh Cheese,120,Indianapolis Cold Storage,2000,9,1/29/26,12,FALSE,3.19
1/23/26,Cheddar Cheese,Aged Cheese,109,Indianapolis Cold Storage,500,4,3/12/26,60,FALSE,4.99
1/23/26,Heavy Cream,Dairy Cream,91,Indianapolis Cold Storage,90,5,2/12/26,24,TRUE,2.7
1/24/26,Whole Milk,Dairy Milk,288,Indianapolis Cold Storage,150,2,1/31/26,10,FALSE,3.79
1/24/26,Greek Yogurt,Cultured Dairy,170,Indianapolis Cold Storage,1500,10,2/2/26,21,FALSE,1.69
1/24/26,Sour Cream,Cultured Cream,104,Indianapolis Cold Storage,1800,10,1/29/26,14,FALSE,2.49
1/24/26,Cottage Cheese,Fresh Cheese,127,Indianapolis Cold Storage,2000,9,1/30/26,12,FALSE,3.19
1/24/26,Cheddar Cheese,Aged Cheese,119,Indianapolis Cold Storage,500,4,3/13/26,60,FALSE,4.99
1/24/26,Heavy Cream,Dairy Cream,87,Indianapolis Cold Storage,90,5,2/13/26,24,FALSE,2.89
1/25/26,Whole Milk,Dairy Milk,277,Indianapolis Cold Storage,150,2,2/1/26,10,FALSE,3.79
1/25/26,Greek Yogurt,Cultured Dairy,168,Indianapolis Cold Storage,1500,10,2/3/26,21,FALSE,1.69
1/25/26,Sour Cream,Cultured Cream,103,Indianapolis Cold Storage,1800,10,1/30/26,14,FALSE,2.49
1/25/26,Cottage Cheese,Fresh Cheese,125,Indianapolis Cold Storage,2000,9,1/31/26,12,FALSE,3.19
1/25/26,Cheddar Cheese,Aged Cheese,146,Indianapolis Cold Storage,500,4,3/14/26,60,TRUE,4.25
1/25/26,Heavy Cream,Dairy Cream,86,Indianapolis Cold Storage,90,5,2/14/26,24,FALSE,2.89
1/26/26,Whole Milk,Dairy Milk,253,Indianapolis Cold Storage,150,2,2/2/26,10,FALSE,3.79
1/26/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,2/4/26,21,FALSE,1.69
1/26/26,Sour Cream,Cultured Cream,91,Indianapolis Cold Storage,1800,10,1/31/26,14,FALSE,2.49
1/26/26,Cottage Cheese,Fresh Cheese,114,Indianapolis Cold Storage,2000,9,2/1/26,12,FALSE,3.19
1/26/26,Cheddar Cheese,Aged Cheese,101,Indianapolis Cold Storage,500,4,3/15/26,60,FALSE,4.99
1/26/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,2/15/26,24,FALSE,2.89
1/27/26,Whole Milk,Dairy Milk,247,Indianapolis Cold Storage,150,2,2/3/26,10,FALSE,3.79
1/27/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,2/5/26,21,FALSE,1.69
1/27/26,Sour Cream,Cultured Cream,92,Indianapolis Cold Storage,1800,10,2/1/26,14,FALSE,2.49
1/27/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,2/2/26,12,FALSE,3.19
1/27/26,Cheddar Cheese,Aged Cheese,102,Indianapolis Cold Storage,500,4,3/16/26,60,FALSE,4.99
1/27/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,2/16/26,24,FALSE,2.89
1/28/26,Whole Milk,Dairy Milk,242,Indianapolis Cold Storage,150,2,2/4/26,10,FALSE,3.79
1/28/26,Greek Yogurt,Cultured Dairy,155,Indianapolis Cold Storage,1500,10,2/6/26,21,FALSE,1.69
1/28/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,2/2/26,14,FALSE,2.49
1/28/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,2/3/26,12,FALSE,3.19
1/28/26,Cheddar Cheese,Aged Cheese,103,Indianapolis Cold Storage,500,4,3/17/26,60,FALSE,4.99
1/28/26,Heavy Cream,Dairy Cream,80,Indianapolis Cold Storage,90,5,2/17/26,24,FALSE,2.89
1/29/26,Whole Milk,Dairy Milk,250,Indianapolis Cold Storage,150,2,2/5/26,10,FALSE,3.79
1/29/26,Greek Yogurt,Cultured Dairy,156,Indianapolis Cold Storage,1500,10,2/7/26,21,FALSE,1.69
1/29/26,Sour Cream,Cultured Cream,96,Indianapolis Cold Storage,1800,10,2/3/26,14,FALSE,2.49
1/29/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,2/4/26,12,FALSE,3.19
1/29/26,Cheddar Cheese,Aged Cheese,104,Indianapolis Cold Storage,500,4,3/18/26,60,FALSE,4.99
1/29/26,Heavy Cream,Dairy Cream,80,Indianapolis Cold Storage,90,5,2/18/26,24,FALSE,2.89
1/30/26,Whole Milk,Dairy Milk,264,Indianapolis Cold Storage,150,2,2/6/26,10,FALSE,3.79
1/30/26,Greek Yogurt,Cultured Dairy,160,Indianapolis Cold Storage,1500,10,2/8/26,21,FALSE,1.69
1/30/26,Sour Cream,Cultured Cream,99,Indianapolis Cold Storage,1800,10,2/4/26,14,FALSE,2.49
1/30/26,Cottage Cheese,Fresh Cheese,118,Indianapolis Cold Storage,2000,9,2/5/26,12,FALSE,3.19
1/30/26,Cheddar Cheese,Aged Cheese,107,Indianapolis Cold Storage,500,4,3/19/26,60,FALSE,4.99
1/30/26,Heavy Cream,Dairy Cream,82,Indianapolis Cold Storage,90,5,2/19/26,24,FALSE,2.89
1/31/26,Whole Milk,Dairy Milk,288,Indianapolis Cold Storage,150,2,2/7/26,10,FALSE,3.79
1/31/26,Greek Yogurt,Cultured Dairy,170,Indianapolis Cold Storage,1500,10,2/9/26,21,FALSE,1.69
1/31/26,Sour Cream,Cultured Cream,105,Indianapolis Cold Storage,1800,10,2/5/26,14,FALSE,2.49
1/31/26,Cottage Cheese,Fresh Cheese,124,Indianapolis Cold Storage,2000,9,2/6/26,12,FALSE,3.19
1/31/26,Cheddar Cheese,Aged Cheese,115,Indianapolis Cold Storage,500,4,3/20/26,60,FALSE,4.99
1/31/26,Heavy Cream,Dairy Cream,87,Indianapolis Cold Storage,90,5,2/20/26,24,FALSE,2.89
2/1/26,Whole Milk,Dairy Milk,276,Indianapolis Cold Storage,150,2,2/8/26,10,FALSE,3.79
2/1/26,Greek Yogurt,Cultured Dairy,167,Indianapolis Cold Storage,1500,10,2/10/26,21,FALSE,1.69
2/1/26,Sour Cream,Cultured Cream,104,Indianapolis Cold Storage,1800,10,2/6/26,14,FALSE,2.49
2/1/26,Cottage Cheese,Fresh Cheese,122,Indianapolis Cold Storage,2000,9,2/7/26,12,FALSE,3.19
2/1/26,Cheddar Cheese,Aged Cheese,112,Indianapolis Cold Storage,500,4,3/21/26,60,FALSE,4.99
2/1/26,Heavy Cream,Dairy Cream,85,Indianapolis Cold Storage,90,5,2/21/26,24,FALSE,2.89
2/2/26,Whole Milk,Dairy Milk,253,Indianapolis Cold Storage,150,2,2/9/26,10,FALSE,3.79
2/2/26,Greek Yogurt,Cultured Dairy,174,Indianapolis Cold Storage,1500,10,2/11/26,21,TRUE,1.56
2/2/26,Sour Cream,Cultured Cream,93,Indianapolis Cold Storage,1800,10,2/7/26,14,FALSE,2.49
2/2/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,2/8/26,12,FALSE,3.19
2/2/26,Cheddar Cheese,Aged Cheese,98,Indianapolis Cold Storage,500,4,3/22/26,60,FALSE,4.99
2/2/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,2/22/26,24,FALSE,2.89
2/3/26,Whole Milk,Dairy Milk,248,Indianapolis Cold Storage,150,2,2/10/26,10,FALSE,3.79
2/3/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,2/12/26,21,FALSE,1.69
2/3/26,Sour Cream,Cultured Cream,115,Indianapolis Cold Storage,1800,10,2/8/26,14,TRUE,2.18
2/3/26,Cottage Cheese,Fresh Cheese,113,Indianapolis Cold Storage,2000,9,2/9/26,12,FALSE,3.19
2/3/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,3/23/26,60,FALSE,4.99
2/3/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,2/23/26,24,FALSE,2.89
2/4/26,Whole Milk,Dairy Milk,286,Indianapolis Cold Storage,150,2,2/11/26,10,TRUE,3.41
2/4/26,Greek Yogurt,Cultured Dairy,152,Indianapolis Cold Storage,1500,10,2/13/26,21,FALSE,1.69
2/4/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,2/9/26,14,FALSE,2.49
2/4/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,2/10/26,12,FALSE,3.19
2/4/26,Cheddar Cheese,Aged Cheese,101,Indianapolis Cold Storage,500,4,3/24/26,60,FALSE,4.99
2/4/26,Heavy Cream,Dairy Cream,80,Indianapolis Cold Storage,90,5,2/24/26,24,FALSE,2.89
2/5/26,Whole Milk,Dairy Milk,247,Indianapolis Cold Storage,150,2,2/12/26,10,FALSE,3.79
2/5/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,2/14/26,21,FALSE,1.69
2/5/26,Sour Cream,Cultured Cream,93,Indianapolis Cold Storage,1800,10,2/10/26,14,FALSE,2.49
2/5/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,2/11/26,12,FALSE,3.19
2/5/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,3/25/26,60,FALSE,4.99
2/5/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,2/25/26,24,FALSE,2.89
2/6/26,Whole Milk,Dairy Milk,256,Indianapolis Cold Storage,150,2,2/13/26,10,FALSE,3.79
2/6/26,Greek Yogurt,Cultured Dairy,151,Indianapolis Cold Storage,1500,10,2/15/26,21,FALSE,1.69
2/6/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,2/11/26,14,FALSE,2.49
2/6/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,2/12/26,12,FALSE,3.19
2/6/26,Cheddar Cheese,Aged Cheese,102,Indianapolis Cold Storage,500,4,3/26/26,60,FALSE,4.99
2/6/26,Heavy Cream,Dairy Cream,88,Indianapolis Cold Storage,90,5,2/26/26,24,TRUE,2.7
2/7/26,Whole Milk,Dairy Milk,272,Indianapolis Cold Storage,150,2,2/14/26,10,FALSE,3.79
2/7/26,Greek Yogurt,Cultured Dairy,157,Indianapolis Cold Storage,1500,10,2/16/26,21,FALSE,1.69
2/7/26,Sour Cream,Cultured Cream,98,Indianapolis Cold Storage,1800,10,2/12/26,14,FALSE,2.49
2/7/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,2/13/26,12,FALSE,3.19
2/7/26,Cheddar Cheese,Aged Cheese,108,Indianapolis Cold Storage,500,4,3/27/26,60,FALSE,4.99
2/7/26,Heavy Cream,Dairy Cream,81,Indianapolis Cold Storage,90,5,2/27/26,24,FALSE,2.89
2/8/26,Whole Milk,Dairy Milk,256,Indianapolis Cold Storage,150,2,2/15/26,10,FALSE,3.79
2/8/26,Greek Yogurt,Cultured Dairy,154,Indianapolis Cold Storage,1500,10,2/17/26,21,FALSE,1.69
2/8/26,Sour Cream,Cultured Cream,96,Indianapolis Cold Storage,1800,10,2/13/26,14,FALSE,2.49
2/8/26,Cottage Cheese,Fresh Cheese,113,Indianapolis Cold Storage,2000,9,2/14/26,12,FALSE,3.19
2/8/26,Cheddar Cheese,Aged Cheese,131,Indianapolis Cold Storage,500,4,3/28/26,60,TRUE,4.25
2/8/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,2/28/26,24,FALSE,2.89
2/9/26,Whole Milk,Dairy Milk,233,Indianapolis Cold Storage,150,2,2/16/26,10,FALSE,3.79
